R	2.37962	12.55	4.38293	4.37636	0.0364768	-0.0138215
L	0.587962	12.6	4.38278	4.37567	0.0343857	-0.0207296
R	0.186536	12.65	4.39386	4.37463	0.0499214	-0.0276344
L	2.28264	12.7	4.38946	4.37325	0.0429043	-0.0345348
R	2.42746	12.75	4.37089	4.37152	0.00435288	-0.0414297
L	2.98367	12.8	4.35957	4.36945	-0.00713997	-0.0483182
R	1.0473	12.85	4.36704	4.36703	0.00963977	-0.0551989
L	0.500397	12.9	4.3709	4.36427	0.0127174	-0.062071
R	4.13489	12.95	4.35191	4.36117	-0.021619	-0.0689333
L	0.00986882	13	4.3514	4.35772	-0.0209951	-0.0757847
R	0.921995	13.05	4.33647	4.35393	-0.046174	-0.0826241
L	1.4192	13.1	4.34069	4.3498	-0.0387632	-0.0894504
R	0.168573	13.15	4.34426	4.34533	-0.0292725	-0.0962627
L	0.823962	13.2	4.3429	4.34052	-0.0281961	-0.10306
R	4.12467	13.25	4.31891	4.33536	-0.0761446	-0.10984
L	1.88294	13.3	4.3159	4.32987	-0.0736347	-0.116604
R	0.838238	13.35	4.29795	4.32404	-0.100744	-0.123349
L	4.53849	13.4	4.30564	4.31787	-0.0892588	-0.130074
R	0.936812	13.45	4.30216	4.31137	-0.0857449	-0.136779
L	3.8633	13.5	4.30933	4.30453	-0.075319	-0.143463
R	5.33455	13.55	4.31284	4.29736	-0.0723535	-0.150124
L	1.43811	13.6	4.3171	4.28985	-0.0647232	-0.156761
R	9.08022	13.65	4.26308	4.28201	-0.107856	-0.163373
L	4.92421	13.7	4.26144	4.27385	-0.10243	-0.169959
R	1.43806	13.75	4.24457	4.26535	-0.118192	-0.176519
L	0.272654	13.8	4.23408	4.25652	-0.124002	-0.183051
R	6.49133	13.85	4.23066	4.24737	-0.122991	-0.189554
L	4.72163	13.9	4.23554	4.23789	-0.109374	-0.196027
R	5.88645	13.95	4.23818	4.22809	-0.0985358	-0.202468
L	0.201388	14	4.23191	4.21797	-0.0996072	-0.208879
R	5.34677	14.05	4.22534	4.20752	-0.114151	-0.215255
L	2.86811	14.1	4.22589	4.19676	-0.102662	-0.221599
R	1.43608	14.15	4.21673	4.18568	-0.109966	-0.227907
L	0.129856	14.2	4.21018	4.17429	-0.11065	-0.234179
R	0.938931	14.25	4.19826	4.16258	-0.126238	-0.240414
L	4.32144	14.3	4.20855	4.15056	-0.0967588	-0.246611
R	0.0575931	14.35	4.20567	4.13823	-0.0927909	-0.252769
L	2.85903	14.4	4.20423	4.12559	-0.0839643	-0.258887
R	3.64806	14.45	4.19924	4.11264	-0.0888581	-0.264964
L	6.42482	14.5	4.18124	4.09939	-0.105836	-0.271
R	1.22265	14.55	4.1708	4.08584	-0.116625	-0.276993
L	0.0440022	14.6	4.16464	4.07199	-0.117293	-0.282942
R	0.226893	14.65	4.1557	4.05785	-0.123233	-0.288846
L	0.507275	14.7	4.14685	4.04341	-0.127147	-0.294705
R	1.66567	14.75	4.1465	4.02867	-0.112763	-0.300517
L	0.423463	14.8	4.14492	4.01365	-0.107497	-0.306282
R	4.58126	14.85	4.13657	3.99833	-0.106016	-0.311998
L	1.82821	14.9	4.10754	3.98273	-0.13582	-0.317665
R	0.35199	14.95	4.09808	3.96685	-0.137636	-0.323282
L	0.829997	15	4.08095	3.95068	-0.15084	-0.328848
R	7.48717	15.05	4.07622	3.93424	-0.142615	-0.334362
L	8.42882	15.1	4.03525	3.91752	-0.186093	-0.339823
R	0.827388	15.15	4.02118	3.90053	-0.190695	-0.34523
L	0.245014	15.2	4.01549	3.88327	-0.186363	-0.350583
R	7.36126	15.25	3.97838	3.86574	-0.223488	-0.355881
L	1.13628	15.3	3.94325	3.84795	-0.252604	-0.361122
R	1.49492	15.35	3.92421	3.82989	-0.262348	-0.366307
